Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170123_9,N54764,Day4,4,4,F,396,old,13.3,16.387,5,8.751,0,0,0,0,8.3,7.636,0.62406015,0.46597913,1.232105263,0.92
170123_10,N54771,Day4,4,3,F,388,old,8.1,10.717,0.1,0.262,1,2.491,1.9,3.998,5.1,3.966,0.62962963,0.37006625,1.32308642,0.777647059
170123_11,N54772,Day4,4,3,F,388,old,11.5,9.767,0.6,1.18,0,0,0,0,10.9,8.587,0.947826087,0.879185011,0.849304348,0.787798165
170123_12,,Day4,4,3,F,388,old,18,15.994,8,8.882,0,0,2.6,2.163,7.4,4.949,0.411111111,0.309428536,0.888555556,0.668783784
170206_1,N54798,Day4,4,3,F,394,old,18,20.386,2.8,4.392,0,0,7.3,9.505,8,6.489,0.444444444,0.318306681,1.132555556,0.811125
170206_2,N54805/N54800,Day4,4,3,F,394,old,9.1,8.783,1.2,1.671,0,0,0.7,0.95,7.3,6.162,0.802197802,0.701582603,0.965164835,0.844109589
170206_3,N54801,Day4,4,3,M,393,old,8.9,1.344,0,0,0,0,0,0,8.9,1.344,1,1,0.151011236,0.151011236
170206_4,N54802,Day4,4,3,M,393,old,12.7,14.421,0,0,2.3,4.556,1.9,3.081,8.6,6.784,0.677165354,0.470425075,1.135511811,0.788837209
170206_5,N54803,Day4,4,3,M,393,old,4.6,3.179,0.4,0.524,0,0,0,0,4.2,2.655,0.913043478,0.835168292,0.691086957,0.632142857
170206_6,N54804,Day4,4,3,M,383,old,60,76.79,17,22.778,18.7,21.402,7.5,10.521,16.8,22.09,0.28,0.287667665,1.279833333,1.314880952
170206_7,N54806,Day4,4,3,M,383,old,9.9,28.907,1.2,4.195,0,0,8.4,15.666,0.4,9.046,0.04040404,0.312934583,2.91989899,22.615
170206_8,N54807,Day4,4,3,M,383,old,10.7,14.355,1.3,3.802,0.7,2.458,0,0,8.6,8.095,0.803738318,0.563915012,1.341588785,0.94127907
170206_9,N54818,Day4,4,0,M,367,old,5.5,5.309,1.1,2.72,0,0,0,0,4.4,2.589,0.8,0.48766246,0.965272727,0.588409091
